generation,best_fitness,avg_fitness,best_weights,diversity,time_seconds
1,70.8333,38.1771,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",17.1032,1350.66
2,70.8333,34.4271,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.0629,1486.48
3,70.8333,30.2604,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.6977,1196.86
4,70.8333,37.3437,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.6717,849.03
5,70.8333,28.6979,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",19.2882,1291.18
6,70.8333,34.8958,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",16.58,1305.45
7,70.8333,38.9583,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",20.7174,943.88
8,70.8333,32.1354,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",22.0646,858.57
9,70.8333,34.1146,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",20.1625,1342.35
10,70.8333,35.1042,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.8018,1289.2
11,70.8333,34.1146,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.7045,1002.08
12,70.8333,34.4791,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",21.3109,712.64
13,70.8333,31.6146,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",20.933,597.07
14,70.8333,40.9375,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",19.607,612.02
15,70.8333,40.2083,"[0.8294, 0.6185, 0.7732, 0.5774, 0.7046]",18.558,825.73
