battle_id,depth,winner,turns,nodes_evaluated,nodes_pruned,pruning_pct,time_taken
1,2,Minimax,10,18,14,43.8,0.0013
2,2,Minimax,10,7,3,30.0,0.0004
3,2,Heuristic,14,7,3,30.0,0.0004
4,2,Heuristic,9,11,4,26.7,0.0006
5,2,Minimax,10,19,15,44.1,0.0013
6,2,Heuristic,9,20,6,23.1,0.0013
7,2,Heuristic,11,27,7,20.6,0.0021
8,2,Heuristic,6,21,5,19.2,0.0017
9,2,Heuristic,8,47,22,31.9,0.0039
10,2,Heuristic,16,6,3,33.3,0.0004
11,2,Minimax,12,7,3,30.0,0.0004
12,2,Minimax,7,18,14,43.8,0.0014
13,2,Heuristic,10,25,7,21.9,0.002
14,2,Minimax,9,7,3,30.0,0.0004
15,2,Heuristic,9,15,5,25.0,0.001
16,2,Minimax,8,13,9,40.9,0.0009
17,2,Heuristic,9,7,3,30.0,0.0004
18,2,Minimax,8,28,24,46.2,0.0025
19,2,Heuristic,9,7,3,30.0,0.0005
20,2,Heuristic,9,19,15,44.1,0.0013
