generation,best_fitness,avg_fitness,best_weights,diversity,time_seconds
1,47.0,24.0,"[0.1245, 0.3666, 0.0444, 0.1564, 0.1436]",14.9301,723.73
2,70.0,35.0,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",15.9659,1030.28
3,70.0,34.6667,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",17.6807,866.79
4,70.0,28.6667,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",19.6808,585.24
5,70.0,36.6667,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",24.7068,503.55
6,70.0,36.0833,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",18.7833,645.54
7,70.0,30.5,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",21.9979,440.35
8,70.0,34.0,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",17.6068,468.58
9,70.0,30.3333,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",18.705,411.6
10,70.0,29.0,"[0.2428, 0.3414, 0.0444, 0.1564, 0.2255]",20.2933,410.67
